file_name,file_s3_url,file_cloudfront_url,file_record_type,file_year,file_month,file_modification_time,file_num_rows,file_num_columns,file_column_names,file_size_bytes,file_size_mbs,file_size_gbs,file_metadata_source
fhv_tripdata_2024-01.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2024-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-01.parquet,fhv,2024,1,2024-03-21 15:35:48+00:00,1290116,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15023585,14.327607154846191,0.013991803862154484,web
fhv_tripdata_2024-02.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2024-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-02.parquet,fhv,2024,2,2024-04-19 18:22:47+00:00,1176093,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",13608941,12.978497505187988,0.012674313969910145,web
fhv_tripdata_2024-03.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2024-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-03.parquet,fhv,2024,3,2024-05-22 19:27:47+00:00,1469352,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",16743352,15.967704772949219,0.015593461692333221,web
fhv_tripdata_2024-04.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2024-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-04.parquet,fhv,2024,4,2024-06-20 20:30:16+00:00,1444626,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",16515459,15.75036907196045,0.015381219796836376,web
fhv_tripdata_2024-05.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2024-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2024-05.parquet,fhv,2024,5,2024-07-18 18:35:23+00:00,1352502,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15958984,15.219673156738281,0.014862962067127228,web
