file_name,file_s3_url,file_cloudfront_url,file_record_type,file_year,file_month,file_modification_time,file_num_rows,file_num_columns,file_column_names,file_size_bytes,file_size_mbs,file_size_gbs,file_metadata_source
green_tripdata_2018-01.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-01.parquet,green,2018,1,2022-06-30 03:16:19+00:00,792744,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",12588773,12.005589485168457,0.011724208481609821,web
green_tripdata_2018-02.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-02.parquet,green,2018,2,2022-06-30 03:16:19+00:00,769197,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",12261328,11.693313598632812,0.011419251561164856,web
green_tripdata_2018-03.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-03.parquet,green,2018,3,2022-06-30 03:16:19+00:00,836246,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",13304186,12.687860488891602,0.012390488758683205,web
green_tripdata_2018-04.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-04.parquet,green,2018,4,2022-06-30 03:16:19+00:00,799383,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",12754439,12.163580894470215,0.01187849696725607,web
green_tripdata_2018-05.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-05.parquet,green,2018,5,2022-06-30 03:16:19+00:00,796552,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",12772553,12.180855751037598,0.011895366944372654,web
green_tripdata_2018-06.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-06.parquet,green,2018,6,2022-06-30 03:16:19+00:00,738546,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",11931153,11.378434181213379,0.01111175213009119,web
green_tripdata_2018-07.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-07.parquet,green,2018,7,2022-06-30 03:16:19+00:00,684374,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",11167620,10.650272369384766,0.01040065661072731,web
green_tripdata_2018-08.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-08.parquet,green,2018,8,2022-06-30 03:16:19+00:00,675815,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",11016416,10.506072998046875,0.010259836912155151,web
green_tripdata_2018-09.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-09.parquet,green,2018,9,2022-06-30 03:16:19+00:00,682032,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",11232183,10.711844444274902,0.01046078559011221,web
green_tripdata_2018-10.parquet,s3://nyc-tlc/trip data/green_tripdata_2018-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2018-10.parquet,green,2018,10,2022-06-30 03:16:19+00:00,731888,20,"VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge",11961961,11.407814979553223,0.011140444315969944,web
