file_name,file_s3_url,file_cloudfront_url,file_record_type,file_year,file_month,file_modification_time,file_num_rows,file_num_columns,file_column_names,file_size_bytes,file_size_mbs,file_size_gbs,file_metadata_source
fhvhv_tripdata_2021-01.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-01.parquet,fhvhv,2021,1,2022-06-30 03:16:23+00:00,11908468,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",308924937,294.61377811431885,0.2877087676897645,web
fhvhv_tripdata_2021-02.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-02.parquet,fhvhv,2021,2,2022-06-30 03:16:23+00:00,11613942,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",302633211,288.6135206222534,0.28184914123266935,web
fhvhv_tripdata_2021-03.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-03.parquet,fhvhv,2021,3,2022-06-30 03:16:23+00:00,14227393,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",368370915,351.3058805465698,0.3430721489712596,web
fhvhv_tripdata_2021-04.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-04.parquet,fhvhv,2021,4,2022-06-30 03:16:23+00:00,14111371,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",368416040,351.34891510009766,0.3431141749024391,web
fhvhv_tripdata_2021-05.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-05.parquet,fhvhv,2021,5,2022-06-30 03:16:23+00:00,14719171,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",387251422,369.31173515319824,0.36065599136054516,web
fhvhv_tripdata_2021-06.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-06.parquet,fhvhv,2021,6,2022-06-30 03:16:23+00:00,14961892,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",394114750,375.8571147918701,0.36704796366393566,web
fhvhv_tripdata_2021-07.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-07.parquet,fhvhv,2021,7,2022-06-30 03:16:23+00:00,15027174,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",395966912,377.62347412109375,0.3687729239463806,web
fhvhv_tripdata_2021-08.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-08.parquet,fhvhv,2021,8,2022-06-30 03:16:23+00:00,14499696,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",382326987,364.61542797088623,0.3560697538778186,web
fhvhv_tripdata_2021-09.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-09.parquet,fhvhv,2021,9,2022-06-30 03:16:23+00:00,14886055,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",393687782,375.4499263763428,0.36665031872689724,web
fhvhv_tripdata_2021-10.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-10.parquet,fhvhv,2021,10,2022-06-30 03:16:23+00:00,16545356,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",430115885,410.19047260284424,0.4005766334012151,web
fhvhv_tripdata_2021-11.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-11.parquet,fhvhv,2021,11,2022-06-30 03:16:23+00:00,16041639,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",411061458,392.01875495910645,0.3828308153897524,web
fhvhv_tripdata_2021-12.parquet,s3://nyc-tlc/trip data/fhvhv_tripdata_2021-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2021-12.parquet,fhvhv,2021,12,2022-06-30 03:16:23+00:00,16054495,24,"hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag",410934116,391.89731216430664,0.3827122189104557,web
