file_name,file_s3_url,file_cloudfront_url,file_record_type,file_year,file_month,file_modification_time,file_num_rows,file_num_columns,file_column_names,file_size_bytes,file_size_mbs,file_size_gbs,file_metadata_source
fhv_tripdata_2023-01.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-01.parquet,fhv,2023,1,2023-03-20 20:46:54+00:00,1114320,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",11308978,10.78508186340332,0.010532306507229805,web
fhv_tripdata_2023-02.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-02.parquet,fhv,2023,2,2023-05-01 15:32:58+00:00,1110797,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",12771769,12.180108070373535,0.011894636787474155,web
fhv_tripdata_2023-03.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-03.parquet,fhv,2023,3,2023-05-19 14:14:55+00:00,1328242,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15030025,14.333748817443848,0.013997801579535007,web
fhv_tripdata_2023-04.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-04.parquet,fhv,2023,4,2023-06-23 14:05:23+00:00,1246479,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",14237314,13.577760696411133,0.013259531930088997,web
fhv_tripdata_2023-05.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-05.parquet,fhv,2023,5,2023-07-26 14:48:06+00:00,1385826,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15628971,14.904948234558105,0.01455561351031065,web
fhv_tripdata_2023-06.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-06.parquet,fhv,2023,6,2023-08-22 13:23:39+00:00,1219445,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",14034231,13.384085655212402,0.013070396147668362,web
fhv_tripdata_2023-07.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-07.parquet,fhv,2023,7,2023-11-02 13:57:02+00:00,1370843,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",16137168,15.389602661132812,0.015028908848762512,web
fhv_tripdata_2023-08.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-08.parquet,fhv,2023,8,2023-11-02 13:56:59+00:00,1440352,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",16898189,16.115368843078613,0.01573766488581896,web
fhv_tripdata_2023-09.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-09.parquet,fhv,2023,9,2023-11-17 14:55:59+00:00,1293303,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15437444,14.722293853759766,0.014377240091562271,web
fhv_tripdata_2023-10.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-10.parquet,fhv,2023,10,2023-12-18 14:32:59+00:00,1628438,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",18380872,17.52936553955078,0.01711852103471756,web
fhv_tripdata_2023-11.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-11.parquet,fhv,2023,11,2024-01-18 15:04:51+00:00,1343846,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15373081,14.66091251373291,0.014317297376692295,web
fhv_tripdata_2023-12.parquet,s3://nyc-tlc/trip data/fhv_tripdata_2023-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2023-12.parquet,fhv,2023,12,2024-02-22 14:55:12+00:00,1376748,7,"dispatching_base_num,pickup_datetime,dropOff_datetime,PUlocationID,DOlocationID,SR_Flag,Affiliated_base_number",15787131,15.055781364440918,0.014702911488711834,web
