"VendorID","lpep_pickup_datetime","lpep_dropoff_datetime","store_and_fwd_flag","RatecodeID","PULocationID","DOLocationID","passenger_count","trip_distance","fare_amount","extra","mta_tax","tip_amount","tolls_amount","ehail_fee","improvement_surcharge","total_amount","payment_type","trip_type","congestion_surcharge"
2,2020-04-25 23:06:27.000000,2020-04-25 23:12:32.000000,"N",5,42,119,1,2.05,10,0,0,0,0,,0.3,10.3,2,2,0
2,2020-04-28 19:17:00.000000,2020-04-28 19:24:00.000000,,,82,157,,1.78,9.9,0,0,0,0,,0.3,10.2,,,
2,2020-04-16 16:28:10.000000,2020-04-16 16:46:19.000000,"N",1,25,228,1,3.33,15,1,0.5,0,0,,0.3,16.8,2,1,0
2,2020-04-07 20:15:10.000000,2020-04-07 20:21:47.000000,"N",1,74,263,1,1.9,7.5,0.5,0.5,0,0,,0.3,11.55,2,1,2.75
2,2020-04-07 22:58:00.000000,2020-04-07 23:16:00.000000,,,82,157,,2.69,11.72,0,0,0,0,,0.3,12.02,,,
2,2020-04-03 19:34:34.000000,2020-04-03 19:48:03.000000,"N",1,41,143,1,3.42,13,1,0.5,1,0,,0.3,18.55,1,1,2.75
2,2020-04-16 12:44:40.000000,2020-04-16 12:49:38.000000,"N",1,116,41,1,1.14,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-07 13:06:06.000000,2020-04-07 13:32:18.000000,"N",1,193,35,1,15.15,43,0,0.5,0,0,,0.3,43.8,2,1,0
2,2020-04-17 21:14:59.000000,2020-04-17 21:18:09.000000,"N",1,42,42,1,0.71,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1,0
2,2020-04-01 09:42:00.000000,2020-04-01 09:52:00.000000,,,121,73,,2.12,8,0,0,0,0,,0.3,8.3,,,
2,2020-04-20 12:04:55.000000,2020-04-20 12:15:28.000000,"N",1,65,217,1,2.63,10.5,0,0.5,0,0,,0.3,11.3,2,1,0
2,2020-04-20 13:57:00.000000,2020-04-20 14:26:00.000000,,,97,76,,5.74,15.55,0,0,2.75,0,,0.3,18.6,,,
2,2020-04-09 13:42:48.000000,2020-04-09 13:48:37.000000,"N",1,235,235,1,0.86,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,2020-04-02 11:37:47.000000,2020-04-02 11:44:56.000000,"N",1,82,260,1,1.54,7.5,0,0.5,0,0,,0.3,8.3,2,1,0
2,2020-04-01 08:06:37.000000,2020-04-01 08:18:52.000000,"N",1,75,119,1,4.1,13.5,0,0.5,0,0,,0.3,14.3,2,1,0
2,2009-01-01 00:03:41.000000,2009-01-01 12:58:31.000000,"N",1,193,193,1,0,0,0,0,0,0,,0,0,1,1,0
2,2020-04-03 09:22:58.000000,2020-04-03 09:27:53.000000,"N",1,41,42,1,0.67,5.5,0,0.5,0,0,,0.3,6.3,2,1,0
1,2020-04-02 17:44:11.000000,2020-04-02 18:05:43.000000,"N",1,71,216,1,0,24.2,0,0.5,0,0,,0.3,25,1,1,0
2,2020-04-22 15:21:23.000000,2020-04-22 15:26:29.000000,"N",1,75,74,1,0.24,5,0,0.5,0,0,,0.3,5.8,2,1,0
2,2020-04-27 10:08:22.000000,2020-04-27 10:11:44.000000,"N",1,41,166,1,0.78,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
2,2020-04-06 05:07:00.000000,2020-04-06 05:18:00.000000,,,73,121,,2.27,16.65,0,0,0,0,,0.3,16.95,,,
2,2020-04-28 20:00:00.000000,2020-04-28 20:07:00.000000,,,82,70,,4.02,14.41,0,0,2,0,,0.3,16.71,,,
1,2020-04-23 08:46:56.000000,2020-04-23 09:00:53.000000,"N",1,75,170,1,3.8,13.5,2.75,0.5,3.4,0,,0.3,20.45,1,1,2.75
2,2020-04-01 09:03:00.000000,2020-04-01 09:08:00.000000,,,76,77,,1.13,24,0,0,0,0,,0.3,24.3,,,
2,2020-04-30 09:30:00.000000,2020-04-30 09:59:00.000000,,,106,191,,16.68,43.44,0,0,2.75,0,,0.3,46.49,,,
2,2020-04-11 16:21:43.000000,2020-04-11 16:32:13.000000,"N",1,95,197,1,2.47,10,0,0.5,0,0,,0.3,10.8,2,1,0
2,2020-04-01 13:51:44.000000,2020-04-01 13:53:29.000000,"N",1,166,152,1,0.4,3.5,0,0.5,0,0,,0.3,4.3,2,1,0
