"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","airport_fee"
2,2020-04-20 22:56:00.000000,2020-04-20 23:17:00.000000,,10.8,,,137,182,0,34.96,0,0.5,0,0,0.3,38.26,,
2,2020-04-26 08:22:16.000000,2020-04-26 08:26:39.000000,1,0.83,1,"N",137,164,2,5,0,0.5,0,0,0.3,8.3,2.5,
2,2020-04-27 16:55:48.000000,2020-04-27 17:01:59.000000,1,2.16,1,"N",233,262,1,8,1,0.5,3.08,0,0.3,15.38,2.5,
2,2020-04-11 19:52:28.000000,2020-04-11 19:59:24.000000,6,1.91,1,"N",140,162,1,8,0,0.5,0,0,0.3,11.3,2.5,
1,2020-04-09 14:14:57.000000,2020-04-09 14:17:36.000000,1,0.5,1,"N",236,263,1,4,2.5,0.5,0.8,0,0.3,8.1,2.5,
2,2020-04-20 16:54:53.000000,2020-04-20 17:03:15.000000,1,3.04,1,"N",141,79,1,10.5,1,0.5,2.96,0,0.3,19.71,2.5,
2,2020-04-09 14:30:25.000000,2020-04-09 14:49:50.000000,,8.69,,,259,247,0,22.1,0,0.5,2.75,0,0.3,25.65,,
2,2020-04-27 16:39:21.000000,2020-04-27 16:44:04.000000,3,0.57,1,"N",107,137,2,5,1,0.5,0,0,0.3,9.3,2.5,
1,2020-04-24 11:18:44.000000,2020-04-24 11:27:16.000000,,2.7,,,107,141,0,10,0,0.5,2.66,0,0.3,15.96,,
1,2020-04-28 08:08:14.000000,2020-04-28 08:20:08.000000,0,3,1,"N",143,170,1,12,2.5,0.5,3.05,0,0.3,18.35,2.5,
2,2020-04-07 11:46:53.000000,2020-04-07 11:49:09.000000,1,0.75,1,"N",48,48,1,4.5,0,0.5,2,0,0.3,9.8,2.5,
2,2020-04-20 12:22:18.000000,2020-04-20 12:24:45.000000,1,0.77,1,"N",237,236,1,4.5,0,0.5,1.56,0,0.3,9.36,2.5,
1,2020-04-02 19:49:04.000000,2020-04-02 19:51:30.000000,1,0.4,1,"N",236,236,1,4,3.5,0.5,1.2,0,0.3,9.5,2.5,
1,2020-04-22 20:52:11.000000,2020-04-22 21:10:54.000000,0,7.2,1,"N",87,142,2,23,3,0.5,0,0,0.3,26.8,2.5,
2,2020-04-04 13:06:00.000000,2020-04-04 13:21:36.000000,1,3.48,1,"N",239,239,1,14,0,0.5,3.46,0,0.3,20.76,2.5,
2,2020-04-25 09:47:57.000000,2020-04-25 09:59:01.000000,6,1.63,1,"N",249,4,2,9.5,0,0.5,0,0,0.3,12.8,2.5,
1,2020-04-04 15:25:30.000000,2020-04-04 15:31:59.000000,1,2,1,"N",264,264,1,8,0,0.5,2.2,0,0.3,11,0,
2,2020-04-03 08:43:22.000000,2020-04-03 08:49:24.000000,1,1.32,1,"N",113,79,1,6.5,0,0.5,1.96,0,0.3,11.76,2.5,
2,2020-04-24 06:45:28.000000,2020-04-24 07:22:27.000000,2,21.68,2,"N",132,74,1,52,0,0.5,12.28,6.12,0.3,73.7,2.5,
1,2020-04-22 16:55:11.000000,2020-04-22 17:05:31.000000,1,1.2,1,"N",137,186,1,8.5,3.5,0.5,3.8,0,0.3,16.6,2.5,
2,2020-04-03 12:45:52.000000,2020-04-03 13:04:16.000000,1,5.87,1,"N",68,74,2,19,0,0.5,0,0,0.3,22.3,2.5,
1,2020-04-20 18:16:13.000000,2020-04-20 18:17:25.000000,1,0.1,1,"N",42,42,1,3,1,0.5,4.2,0,0.3,9,0,
2,2020-04-23 14:58:15.000000,2020-04-23 15:16:38.000000,1,4.96,1,"N",230,48,1,17.5,0,0.5,4.16,0,0.3,24.96,2.5,
2,2020-04-08 09:50:11.000000,2020-04-08 09:54:45.000000,1,0.69,1,"N",239,151,2,5,0,0.5,0,0,0.3,8.3,2.5,
2,2020-04-21 14:55:06.000000,2020-04-21 15:00:10.000000,1,1.33,1,"N",229,237,2,6,0,0.5,0,0,0.3,9.3,2.5,
2,2020-04-12 15:29:11.000000,2020-04-12 15:34:24.000000,5,1.04,1,"N",107,90,2,6,0,0.5,0,0,0.3,9.3,2.5,
1,2020-04-12 07:53:14.000000,2020-04-12 07:55:59.000000,1,0.9,1,"N",162,107,1,4.5,2.5,0.5,0,0,0.3,7.8,2.5,
2,2020-04-02 13:33:24.000000,2020-04-02 13:38:33.000000,1,2.31,1,"N",141,145,2,8.5,0,0.5,0,0,0.3,11.8,2.5,
1,2020-04-24 13:01:23.000000,2020-04-24 13:04:35.000000,1,0.8,1,"N",50,161,2,5,2.5,0.5,0,0,0.3,8.3,2.5,
2,2020-04-11 14:59:34.000000,2020-04-11 15:07:09.000000,1,1.44,1,"N",100,137,2,7,0,0.5,0,0,0.3,10.3,2.5,
2,2020-04-18 08:56:42.000000,2020-04-18 09:26:22.000000,1,14.69,1,"N",68,200,1,42.5,0,0.5,9.72,2.8,0.3,58.32,2.5,
1,2020-04-14 17:08:23.000000,2020-04-14 17:25:15.000000,1,4.7,1,"N",25,35,2,16.5,1,0.5,0,0,0.3,18.3,0,
1,2020-04-28 11:56:17.000000,2020-04-28 12:01:48.000000,1,1.3,1,"N",75,151,2,6,0,0.5,0,0,0.3,6.8,0,
1,2020-04-19 15:49:58.000000,2020-04-19 15:54:59.000000,1,2.1,1,"N",141,146,2,8,2.5,0.5,0,0,0.3,11.3,2.5,
2,2020-04-16 16:24:42.000000,2020-04-16 16:37:17.000000,1,5.58,1,"N",231,229,1,17.5,1,0.5,4.36,0,0.3,26.16,2.5,
2,2020-04-08 15:27:31.000000,2020-04-08 15:37:11.000000,1,1.68,1,"N",137,229,2,9,0,0.5,0,0,0.3,12.3,2.5,
2,2020-04-10 14:15:12.000000,2020-04-10 14:19:40.000000,1,0.94,1,"N",107,170,2,5.5,0,0.5,0,0,0.3,8.8,2.5,
