"dispatching_base_num","pickup_datetime","dropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Affiliated_base_number"
"B03016",2020-04-30 00:28:59.000000,2020-04-30 00:38:02.000000,,213,,"B02882"
"B01536",2020-04-07 08:02:20.000000,2020-04-07 08:13:53.000000,264,168,,"B01536"
"B01420",2020-04-02 07:51:00.000000,2020-04-02 08:06:00.000000,,,,"B01420"
"B02728",2020-04-17 18:45:42.000000,2020-04-17 18:51:51.000000,,51,,"B02728"
"B01145",2020-04-12 22:13:05.000000,2020-04-12 22:28:44.000000,264,168,,"B02971"
"B02003",2020-04-14 17:15:08.000000,2020-04-14 18:04:31.000000,,,,"B02003"
"B01200",2020-04-24 12:11:41.000000,2020-04-24 12:36:21.000000,264,226,,"B01200"
"B03266",2020-04-30 23:30:19.000000,2020-04-30 23:34:01.000000,179,179,,"B03266"
"B02552",2020-04-24 13:55:05.000000,2020-04-24 14:29:17.000000,74,228,,"B02788"
"B00457",2020-04-25 17:29:06.000000,2020-04-25 17:30:53.000000,,20,,"B00457"
"B00789",2020-04-11 14:36:38.000000,2020-04-11 15:07:10.000000,,,,"B00789"
"B03156",2020-04-09 09:04:00.000000,2020-04-09 09:22:00.000000,32,42,,"B03156"
"B01051",2020-04-19 23:16:07.000000,2020-04-19 23:26:49.000000,,18,,"B01051"
"B00448",2020-04-29 13:51:09.000000,2020-04-29 14:27:13.000000,,161,,"B00448"
"B02849",2020-04-25 16:59:43.000000,2020-04-25 17:09:18.000000,264,165,,"B02849"
"B02550",2020-04-30 09:03:33.000000,2020-04-30 09:29:34.000000,,142,,"B02550"
"B01013",2020-04-26 11:00:00.000000,2020-04-26 11:15:00.000000,,,,"B01013"
"B01437",2020-04-07 09:58:57.000000,2020-04-07 10:05:43.000000,264,93,,"B02880"
"B02536",2020-04-19 12:08:20.000000,2020-04-19 12:24:36.000000,149,21,,"B02536"
"B01145",2020-04-02 18:20:02.000000,2020-04-02 18:35:27.000000,264,167,,"B02870"
"B01485",2020-04-21 22:25:03.000000,2020-04-21 22:40:00.000000,264,91,,"B01485"
"B02550",2020-04-04 11:00:19.000000,2020-04-04 11:12:23.000000,,265,,"B02534"
"B02794",2020-04-23 22:02:12.000000,2020-04-23 22:19:09.000000,264,76,,"B02682"
"B03160",2020-04-04 13:23:00.000000,2020-04-04 13:53:00.000000,198,177,,"B02872"
"B00855",2020-04-03 08:20:00.000000,2020-04-03 09:30:00.000000,86,117,,"B00855"
"B01437",2020-04-22 22:03:57.000000,2020-04-22 22:13:33.000000,264,216,,"B02875"
"B02687",2020-04-21 15:17:32.000000,2020-04-21 15:42:13.000000,188,149,,"B02687"
"B01145",2020-04-03 11:20:32.000000,2020-04-03 11:39:54.000000,264,69,,"B02875"
"B02352",2020-04-20 06:46:35.000000,2020-04-20 06:50:00.000000,,228,,"B02352"
"B03060",2020-04-22 11:12:12.000000,2020-04-22 11:34:58.000000,264,35,,"B02788"
"B02881",2020-04-08 06:49:48.000000,2020-04-08 06:57:16.000000,56,83,,"B02881"
"B03060",2020-04-20 14:49:31.000000,2020-04-20 15:50:37.000000,264,86,,"B03060"
"B03171",2020-04-12 03:30:08.000000,2020-04-12 03:33:43.000000,,82,,"B03171"
"B01145",2020-04-11 17:09:22.000000,2020-04-11 17:17:10.000000,264,168,,"B01145"
"B03047",2020-04-02 11:32:00.000000,2020-04-02 12:07:06.000000,6,168,,"B03047"
"B01145",2020-04-23 10:15:55.000000,2020-04-23 10:33:07.000000,264,41,,"B02884"
"B02509",2020-04-11 08:57:41.000000,2020-04-11 09:19:51.000000,264,195,,"B02864"
"B00911",2020-04-17 14:03:17.000000,2020-04-17 14:09:29.000000,264,69,,"B00911"
"B02846",2020-04-14 09:11:37.000000,2020-04-14 09:37:26.000000,264,69,,"B02846"
"B00647",2020-04-26 15:04:09.000000,2020-04-26 15:10:07.000000,264,20,,"B00647"
"B01717",2020-04-18 14:43:52.000000,2020-04-18 14:51:27.000000,264,213,,"B01717"
"B01536",2020-04-16 07:14:12.000000,2020-04-16 07:26:39.000000,264,213,,"B01536"
"B01145",2020-04-08 11:54:00.000000,2020-04-08 12:21:54.000000,264,60,,"B02870"
"B02677",2020-04-10 09:41:22.000000,2020-04-10 09:49:00.000000,264,35,,"B02677"
"B03016",2020-04-13 07:44:14.000000,2020-04-13 07:52:25.000000,,3,,"B02879"
"B01871",2020-04-14 08:33:00.000000,2020-04-14 08:52:00.000000,,,,"B01871"
"B02849",2020-04-06 14:45:48.000000,2020-04-06 14:52:17.000000,264,217,,"B02849"
"B02416",2020-04-10 20:13:11.000000,2020-04-10 20:32:23.000000,,,,
"B01312",2020-04-13 16:21:44.000000,2020-04-13 16:41:41.000000,264,85,,"B02800"
"B02162",2020-04-03 22:11:08.000000,2020-04-03 22:22:56.000000,264,89,,"1UBER"
"B02315",2020-04-13 07:38:57.000000,2020-04-13 07:44:57.000000,264,29,,"B02315"
"B02674",2020-04-22 08:27:52.000000,2020-04-22 08:34:00.000000,102,102,,"B02674"
"B02245",2020-04-18 01:45:15.000000,2020-04-18 01:54:44.000000,264,22,,"B02245"
"B02794",2020-04-06 12:00:58.000000,2020-04-06 12:13:25.000000,264,61,,"B02794"
"B03266",2020-04-16 17:08:56.000000,2020-04-16 17:33:52.000000,193,197,,"B03266"
"B01069",2020-04-02 13:35:32.000000,2020-04-02 13:36:53.000000,264,258,,"B01069"
"B03047",2020-04-24 14:04:20.000000,2020-04-24 14:20:31.000000,20,69,,"B03047"
"B00647",2020-04-14 06:50:01.000000,2020-04-14 06:59:47.000000,264,69,,"B00647"
"B02546",2020-04-23 13:42:19.000000,2020-04-23 13:58:59.000000,264,126,,"B02546"
"B02898",2020-04-02 09:02:40.000000,2020-04-02 09:43:23.000000,,174,,"B02898"
"B00310",2020-04-01 21:32:28.000000,2020-04-01 21:40:04.000000,264,18,,"B02888"
"B01871",2020-04-22 20:00:00.000000,2020-04-22 20:08:00.000000,,,,"B01871"
"B01231",2020-04-12 16:51:12.000000,2020-04-12 17:02:06.000000,264,49,,"B02872"
"B01312",2020-04-10 09:17:55.000000,2020-04-10 09:31:11.000000,264,226,,"B02865"
"B01710",2020-04-09 11:12:40.000000,2020-04-09 11:20:50.000000,264,264,,"B01710"
"B02110",2020-04-13 06:31:00.000000,2020-04-13 06:43:52.000000,264,264,,"B01678"
"B01282",2020-04-08 05:20:00.000000,2020-04-08 05:45:22.000000,,244,,"B02875"
"B00821",2020-04-01 22:01:50.000000,2020-04-01 22:08:20.000000,264,258,,"B03021"
"B02461",2020-04-14 07:35:00.000000,2020-04-14 07:40:58.000000,264,116,,"B02461"
"B02546",2020-04-08 19:05:37.000000,2020-04-08 19:08:19.000000,264,60,,"B02546"
"B00647",2020-04-21 20:37:35.000000,2020-04-21 20:57:05.000000,264,51,,"B00647"
"B01315",2020-04-21 14:50:31.000000,2020-04-21 14:54:39.000000,264,250,,"B01315"
"B00310",2020-04-26 14:10:40.000000,2020-04-26 14:25:49.000000,264,208,,"B02878"
"B00911",2020-04-22 00:50:24.000000,2020-04-22 00:53:47.000000,264,47,,"B00911"
"B01328",2020-04-27 04:39:00.000000,2020-04-27 04:54:00.000000,235,242,,"B02534"
"B00254",2020-04-01 08:20:25.000000,2020-04-01 08:37:35.000000,87,80,,"B00254"
"B01308",2020-04-04 19:23:00.000000,2020-04-04 19:28:00.000000,264,264,,"B01308"
"B00802",2020-04-10 14:38:43.000000,2020-04-10 14:41:44.000000,,228,,"B00802"
"B03016",2020-04-06 06:31:01.000000,2020-04-06 06:43:36.000000,,213,,"B02788"
